,food,Saturated Fats,Nutrition Density,Protein,Dietary Fiber,Caloric Value,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Rasio Lemak Jenuh ke Protein,Rasio Lemak Jenuh ke Serat,Fat Category
131,ham egg cheese sandwich,7.4,284.0,19.2,0.0,347,5.7,1.7,30.9,0.3854166666666667,,Normal Fat
132,english muffin with butter,2.4,146.209,4.9,0.0,189,1.5,1.3,30.4,0.48979591836734687,,Normal Fat
133,savoury noodle one pan dinner tandaco,0.5,6.7,0.0,0.0,172,32.9,3.6,5.5,inf,,Normal Fat
134,ham cheese sandwich,6.4,205.416,20.7,0.0,352,6.7,1.4,33.3,0.3091787439613527,,Normal Fat
135,sweet gefilte fish,0.2,18.677,3.8,0.0,35,0.3,0.1,3.1,0.052631578947368425,,Normal Fat
136,poached egg,1.6,40.398,6.3,0.0,72,1.8,1.0,0.4,0.253968253968254,,Normal Fat
137,tostada with beef cheese,10.4,280.498,19.0,0.0,315,3.3,1.0,22.8,0.5473684210526316,,High Fat
138,tostada with beans cheese,5.4,259.467,9.6,0.0,223,3.1,0.7,26.5,0.5625000000000001,,Normal Fat
139,pork tamale,3.8,156.766,10.4,3.4,247,4.6,2.9,22.4,0.36538461538461536,1.1176470588235294,Normal Fat
140,nachos with cheese,1.7,51.581,3.5,2.6,274,11.2,4.0,27.9,0.4857142857142857,0.6538461538461539,Normal Fat
141,pulled pork in barbecue sauce,3.5,206.7,32.8,3.0,418,4.5,1.9,46.7,0.10670731707317074,1.1666666666666667,Normal Fat
142,baked potato with cheese sauce,10.6,429.9,14.6,0.0,474,10.7,6.0,46.5,0.726027397260274,,High Fat
143,baked beans,3.9,76.2,11.1,11.0,310,4.3,1.5,43.3,0.35135135135135137,0.35454545454545455,Normal Fat
144,arroz con frijoles,1.1,109.3,6.8,5.0,220,1.3,2.3,35.6,0.16176470588235295,0.22000000000000003,Normal Fat
145,taco with beef cheese lettuce,3.0,93.825,6.1,2.7,156,3.0,2.1,13.7,0.49180327868852464,1.111111111111111,Normal Fat
146,burrito with beans cheese beef,3.6,103.1,7.3,0.0,165,2.2,0.5,19.8,0.4931506849315069,,Normal Fat
147,egg mix,0.8,4.876,2.4,0.0,30,0.8,0.4,0.098,0.33333333333333337,,Normal Fat
148,falafel,0.4,10.763,2.3,0.0,57,1.7,0.7,5.4,0.1739130434782609,,Normal Fat
149,taco salad with chili con carne,4.0,205.9,11.6,0.0,193,3.0,1.0,17.7,0.3448275862068966,,Normal Fat
150,wonton wrappers,0.022,38.815,3.1,0.6,93,0.033,0.2,18.5,0.007096774193548387,0.03666666666666667,Normal Fat
151,hushpuppies,3.2,533.994,11.7,4.3,512,5.0,11.0,69.9,0.27350427350427353,0.744186046511628,Normal Fat
152,chicken pot pie,12.6,177.7,14.6,3.0,598,11.9,8.3,57.3,0.863013698630137,4.2,High Fat
153,general tsos chicken,14.8,368.673,69.0,4.8,1578,20.8,40.1,128.3,0.21449275362318843,3.0833333333333335,High Fat
154,burrito with beans cheese,4.3,324.946,13.6,7.8,379,2.3,4.1,57.8,0.3161764705882353,0.5512820512820513,Normal Fat
155,vegetarian fillets,2.4,130.3,19.6,5.2,247,3.7,7.9,7.7,0.12244897959183672,0.4615384615384615,Normal Fat
156,biscuit with egg sausage,10.4,171.757,18.0,0.3,505,16.2,4.8,34.1,0.5777777777777778,34.66666666666667,High Fat
157,chicken chow mein,3.0,256.797,40.8,6.0,513,3.7,7.4,50.1,0.07352941176470588,0.5,Normal Fat
158,fruit burrito,4.6,64.3,2.5,0.0,231,3.4,1.1,35.0,1.8399999999999999,,Normal Fat
159,arroz con leche,4.8,310.0,8.1,1.3,369,2.6,1.1,63.0,0.5925925925925926,3.692307692307692,Normal Fat
160,caramel custard flan,5.5,351.2,13.9,0.0,444,3.9,1.2,69.7,0.39568345323741005,,Normal Fat
161,gelatin dessert,0.0,49.792,3.3,0.0,167,0.0,0.0,38.3,0.0,,Normal Fat
162,chocolate milk dessert,0.8,270.99,5.9,0.0,229,0.5,0.084,51.6,0.13559322033898305,,Normal Fat
163,chocolate mousse,13.7,200.4,6.2,0.9,338,7.5,1.3,24.1,2.2096774193548385,15.222222222222221,High Fat
164,dulce de leche,0.9,61.415,1.3,0.0,60,0.4,0.063,10.5,0.6923076923076923,,Normal Fat
165,apple crisp,1.9,212.724,4.9,3.9,454,3.8,3.2,87.0,0.38775510204081626,0.48717948717948717,Normal Fat
166,spinach spaghetti cooked,0.1,87.4,6.4,0.0,182,0.1,0.4,36.6,0.015625,,Normal Fat
167,corn pasta cooked,0.1,52.3,3.7,6.7,176,0.3,0.5,39.1,0.02702702702702703,0.014925373134328358,Normal Fat
168,spaghetti with meat sauce,1.0,135.1,14.3,5.1,255,0.9,0.9,43.1,0.06993006993006992,0.19607843137254904,Normal Fat
169,pasta with meatballs in tomato sauce,5.0,100.474,10.6,6.9,273,5.7,0.9,28.3,0.4716981132075472,0.7246376811594203,Normal Fat
170,cheese tortellini,3.9,241.181,14.6,2.1,332,2.2,0.5,50.8,0.2671232876712329,1.857142857142857,Normal Fat
171,pasta with sliced franks in tomato sauce,2.5,216.154,11.0,4.0,227,2.5,1.0,32.0,0.22727272727272727,0.625,Normal Fat
172,lasagna,2.9,36.675,9.0,2.1,166,2.2,0.5,18.9,0.3222222222222222,1.380952380952381,Normal Fat
173,macaroni cheese,3.1,68.319,12.6,2.3,310,4.2,2.0,43.7,0.24603174603174605,1.347826086956522,Normal Fat
174,vegetable lasagna,5.5,410.066,15.6,4.3,316,3.3,2.6,32.2,0.3525641025641026,1.2790697674418605,Normal Fat
175,spinach egg noodles cooked,0.6,85.297,8.1,3.7,211,0.8,0.6,38.8,0.07407407407407407,0.16216216216216214,Normal Fat
176,cheese lasagna,5.1,381.08,15.9,4.1,316,3.8,2.5,33.6,0.32075471698113206,1.2439024390243902,Normal Fat
177,pasta with tomato sauce,0.4,45.091,5.6,2.3,176,0.3,0.5,35.1,0.07142857142857144,0.1739130434782609,Normal Fat
178,spinach pasta cooked,0.078,14.201,1.4,0.0,37,0.073,0.043,7.1,0.055714285714285716,,Normal Fat
179,vegetable chicken soup,1.4,72.737,12.3,1.0,166,2.2,1.0,21.1,0.1138211382113821,1.4,Normal Fat
180,bean ham soup,0.6,154.4,10.3,9.8,198,1.0,0.7,33.5,0.058252427184466014,0.06122448979591836,Normal Fat
181,cream of chicken soup,4.3,76.9,6.0,0.0,227,5.2,2.7,18.0,0.7166666666666667,,Normal Fat
182,tomato soup canned,1.8,224.932,6.3,1.5,139,0.8,0.3,22.6,0.28571428571428575,1.2,Normal Fat
183,egg drop soup,0.4,48.808,2.8,1.0,65,0.5,0.3,10.3,0.14285714285714288,0.4,Normal Fat
184,scotch broth,2.7,84.4,12.1,3.0,197,1.9,1.3,23.0,0.22314049586776863,0.9,Normal Fat
185,cream of onion soup,3.6,139.473,6.7,1.2,268,5.1,3.5,31.7,0.5373134328358209,3.0,Normal Fat
186,chicken broth dry,0.055,11.198,0.7,0.0,10,0.013,0.069,1.1,0.07857142857142858,,Normal Fat
187,vegetable soup with beef broth,0.9,80.5,6.0,3.2,162,1.1,1.6,26.3,0.15,0.28125,Normal Fat
188,chili with beans canned,6.0,204.0,14.6,11.3,287,6.0,0.9,30.5,0.4109589041095891,0.5309734513274336,Normal Fat
189,beef noodle soup,2.3,68.232,9.6,1.5,168,2.5,1.0,17.9,0.23958333333333331,1.5333333333333332,Normal Fat
190,consomme dry,0.0,17.2,2.2,0.0,17,0.0,0.0,1.9,0.0,,Normal Fat
191,chicken mushroom soup,1.6,57.171,2.0,4.0,126,2.7,1.5,15.1,0.8,0.4,Normal Fat
192,beef vegetable soup,1.0,84.9,8.0,3.0,120,0.7,0.9,15.4,0.125,0.3333333333333333,Normal Fat
193,black bean soup,0.9,167.3,12.4,17.5,234,1.2,1.1,39.6,0.07258064516129033,0.05142857142857143,Normal Fat
194,split pea soup with ham bacon,0.9,49.5,11.6,4.1,189,1.2,0.6,28.6,0.07758620689655173,0.21951219512195125,Normal Fat
195,cream of mushroom soup,2.4,66.404,3.4,1.8,199,3.1,7.3,17.1,0.7058823529411765,1.3333333333333333,Normal Fat
196,green pea soup,2.7,145.005,16.7,10.0,320,1.9,0.7,51.7,0.16167664670658685,0.27,Normal Fat
197,chicken broth soup,0.8,31.7,11.1,0.0,78,1.2,0.6,1.9,0.07207207207207207,,Normal Fat
198,chicken mushroom chowder soup,6.2,99.1,16.2,7.5,431,4.5,9.4,38.3,0.3827160493827161,0.8266666666666667,Normal Fat
199,chicken dumplings soup,3.2,80.269,13.6,1.2,235,6.1,3.2,14.7,0.23529411764705885,2.666666666666667,Normal Fat
200,chicken vegetable soup,1.7,68.983,7.1,1.7,148,2.5,1.2,17.0,0.23943661971830987,1.0,Normal Fat
201,turkey vegetable soup,0.9,33.0,3.1,0.5,72,1.3,0.7,8.6,0.2903225806451613,1.8,Normal Fat
202,wonton soup,0.1,30.692,4.6,0.4,71,0.2,0.2,11.7,0.02173913043478261,0.25,Normal Fat
203,beef stock,0.003,27.6,4.7,0.0,31,0.1,0.005,2.9,0.0006382978723404255,,Normal Fat
204,mushroom barley soup,1.1,71.1,4.6,0.0,186,2.4,1.7,29.3,0.23913043478260873,,Normal Fat
205,gazpacho soup,0.008,67.5,10.7,0.7,70,0.059,0.1,6.6,0.0007476635514018692,0.01142857142857143,Normal Fat
206,beef mushroom soup,3.7,52.1,14.0,0.6,186,3.1,0.3,15.9,0.2642857142857143,6.166666666666667,Normal Fat
207,chicken rice soup,1.0,68.818,12.3,1.0,127,1.4,0.7,13.0,0.08130081300813008,1.0,Normal Fat
208,pepperpot soup,2.0,49.1,6.2,0.5,100,2.0,0.3,9.1,0.3225806451612903,4.0,Normal Fat
209,vegetable soup,0.6,82.2,4.3,1.3,149,1.7,1.5,24.6,0.13953488372093023,0.4615384615384615,Normal Fat
210,chili beef soup,3.3,77.607,13.4,6.6,308,2.7,0.2,49.6,0.2462686567164179,0.5,Normal Fat
211,chicken soup,1.9,64.716,12.4,1.5,174,2.9,1.3,16.9,0.15322580645161288,1.2666666666666666,Normal Fat
212,bean with frankfurters soup,2.1,129.9,10.0,0.0,188,2.7,1.7,22.0,0.21000000000000002,,Normal Fat
213,pea soup,1.4,76.26,8.3,4.9,161,1.0,0.4,25.6,0.1686746987951807,0.2857142857142857,Normal Fat
214,turkey soup,1.2,86.6,10.2,0.0,135,1.8,1.1,14.1,0.11764705882352941,,Normal Fat
215,stockpot soup,1.7,90.5,9.8,0.0,201,2.0,3.5,23.1,0.173469387755102,,Normal Fat
216,hot sour soup,0.5,65.954,6.0,1.2,91,0.7,0.7,10.1,0.08333333333333333,0.4166666666666667,Normal Fat
217,cheese soup,6.1,135.1,2.0,5.5,203,2.7,0.3,28.0,3.05,1.1090909090909091,Normal Fat
218,cream of potato soup,2.4,88.202,3.8,3.3,186,1.1,0.8,32.2,0.631578947368421,0.7272727272727273,Normal Fat
219,bean with bacon soup,1.0,91.1,5.5,9.0,106,0.9,0.2,16.4,0.18181818181818182,0.1111111111111111,Normal Fat
220,fish stock,0.5,14.488,5.3,0.0,40,0.5,0.3,0.0,0.09433962264150944,,Normal Fat
221,split pea soup with ham,3.5,141.2,20.7,4.6,381,3.6,1.3,56.2,0.16908212560386474,0.7608695652173914,Normal Fat
222,beef broth soup,0.3,18.049,2.7,0.0,17,0.2,0.049,0.01,0.1111111111111111,,Normal Fat
223,lentil soup with ham,1.1,81.4,9.3,0.0,139,1.3,0.3,20.2,0.11827956989247312,,Normal Fat
224,tomato soup,0.2,66.2,2.2,1.6,98,0.2,0.2,22.5,0.09090909090909091,0.125,Normal Fat
225,fish broth,0.3,81.193,4.9,0.0,39,0.3,0.6,1.0,0.06122448979591836,,Normal Fat
226,chili without beans canned,5.4,130.8,18.1,0.0,283,5.9,1.1,14.6,0.2983425414364641,,Normal Fat
227,minestrone soup,1.1,111.1,8.6,2.0,167,1.4,2.2,22.6,0.12790697674418605,0.55,Normal Fat
228,clam chowder soup,0.8,95.69,4.4,3.0,154,0.8,2.6,24.5,0.18181818181818182,0.26666666666666666,Normal Fat
